4_layer_output_rolling_profitable_trade,4_layer_output_rolling_unprofitable_trade,4_layer_output_rolling_winrate,4_layer_output_rolling_gross_profit,4_layer_output_rolling_gross_loss,4_layer_output_rolling_net,4_layer_output_rolling_profit_factor,4_layer_output_rolling_balance_drawdown_absolute,4_layer_output_rolling_balance_drawdown_maximal,4_layer_output_rolling_balance_drawdown_relative,4_layer_output_rolling_total_deals,4_layer_output_rolling_win_count,4_layer_output_rolling_lose_count,4_layer_output_rolling_total_trades,4_layer_output_rolling_average_profit,4_layer_output_rolling_average_loss,4_layer_output_rolling_expected_payoff,4_layer_output_rolling_LR_correlation,4_layer_output_rolling_long_trades_won,4_layer_output_rolling_short_trades_won,4_layer_output_rolling_largest_profit_trade,4_layer_output_rolling_largest_loss_trade,4_layer_output_rolling_maximum_consecutive_wins,4_layer_output_rolling_maximum_consecutive_loses,4_layer_output_rolling_maximal_consecutive_profit,4_layer_output_rolling_maximal_consecutive_loss,4_layer_output_rolling_average_consecutive_wins,4_layer_output_rolling_average_consecutive_loses,5_layer_output_rolling_Expectancy_Expectancy,5_layer_output_rolling_GPR_GainToPainRatio,5_layer_output_rolling_CAGR_CompoundAnnualGrowthRate,5_layer_output_rolling_Martin_MartinRatio,5_layer_output_rolling_Sterling_SterlingRatio,5_layer_output_rolling_Burke_BurkeRatio,5_layer_output_rolling_RoR_RiskOfRuin,5_layer_output_rolling_DSR_DeflatedSharpeRatio,5_layer_output_rolling_PainIndex_PainIndex,5_layer_output_rolling_PainRatio_PainRatio,5_layer_output_rolling_Lake_LakeRatio,5_layer_output_rolling_OWLR_OutlierWinLossRatio,5_layer_output_rolling_PI_ProfitabilityIndex
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,
0,1,0.0,0.0,-3.96,-3.96,0.0,3.9599999999999937,3.9599999999999937,3.959999999999994,2,0,1,1,0.0,-3.96,-3.96,-1.0,0,0,0.0,-3.96,0.0,1.0,0.0,-3.96,0.0,1.0,-1.98,0.0,-1.0,-35.712463696290335,-25.25252525252529,-25.25252525252529,1.0,0.263544628432769,0.0197999999999999,-50.50505050505058,-0.9999999999999984,0.0,0.0
0,1,0.0,0.0,-3.96,-3.96,0.0,3.9599999999999937,3.9599999999999937,3.959999999999994,3,0,1,1,0.0,-3.96,-3.96,-0.8660254037844386,0,0,0.0,-3.96,0.0,1.0,0.0,-3.96,0.0,1.0,-1.32,0.0,-0.9999997733708732,-30.92789378355379,-25.252519529567547,-17.856227801402937,1.0,0.0227501319481795,0.0263999999999999,-37.87877929435132,-1.999999999999997,0.0,0.0
0,2,0.0,0.0,-9.37,-9.37,0.0,9.370000000000005,9.370000000000005,9.370000000000005,4,0,2,2,0.0,-4.6850000000000005,-4.6850000000000005,-0.9430541942422692,0,0,0.0,-5.41,0.0,2.0,0.0,-9.37,0.0,2.0,-2.3425,0.0,-0.9999999999999996,-18.32164930980997,-10.672358591248656,-9.160824654904983,1.0,0.0062996423150096,0.0432249999999999,-23.13475997686524,-1.8452508004268933,0.0,0.0
0,2,0.0,0.0,-9.37,-9.37,0.0,9.370000000000005,9.370000000000005,9.370000000000005,5,0,2,2,0.0,-4.6850000000000005,-4.6850000000000005,-0.9486585580781648,0,0,0.0,-5.41,0.0,2.0,0.0,-9.37,0.0,2.0,-1.874,0.0,-0.9999999851292152,-15.543361063802957,-10.672358432542312,-6.951202387497372,1.0,0.0122627525789418,0.0533199999999999,-18.754688393271103,-2.8452508004268937,0.0,0.0
0,3,0.0,0.0,-13.59,-13.59,0.0,13.590000000000003,13.590000000000003,13.590000000000002,6,0,3,3,0.0,-4.53,-4.53,-0.9709163222952536,0,0,0.0,-5.41,0.0,3.0,0.0,-13.59,0.0,3.0,-2.265,0.0,-0.9999999999975876,-12.377395733172792,-7.358351729194903,-5.053050648462504,1.0,0.0077675741206658,0.0670833333333333,-14.906832298100683,-2.9617365710080943,0.0,0.0
0,3,0.0,0.0,-13.59,-13.59,0.0,13.590000000000003,13.590000000000003,13.590000000000002,7,0,3,3,0.0,-4.53,-4.53,-0.970963997992879,0,0,0.0,-5.41,0.0,3.0,0.0,-13.59,0.0,3.0,-1.9414285714285715,0.0,-0.9999999822296064,-11.02077645453132,-7.358351598451848,-4.16546196478943,1.0,0.0046656757265457,0.0769142857142857,-13.001485653059518,-3.9617365710080943,0.0,0.0
0,4,0.0,0.0,-22.33,-22.33,0.0,22.33,22.33,22.33,8,0,4,4,0.0,-5.5825,-5.5825,-0.9626926576841,0,0,0.0,-8.74,0.0,4.0,0.0,-22.33,0.0,4.0,-2.79125,0.0,-0.99999999999996,-8.626773929583448,-4.478280340349128,-3.050025172685888,1.0,0.0023496821189841,0.0952125,-10.502822633582356,-3.411106135244067,0.0,0.0
0,4,0.0,0.0,-22.33,-22.33,0.0,22.33,22.33,22.33,9,0,4,4,0.0,-5.5825,-5.5825,-0.9737588154496668,0,0,0.0,-8.74,0.0,4.0,0.0,-22.33,0.0,4.0,-2.481111111111111,0.0,-0.9999982651755946,-7.562659892821201,-4.478272571319278,-2.5208866309404003,1.0,0.0015578561840697,0.1094444444444444,-9.137039986375992,-4.411106135244067,0.0,0.0
1,4,0.2,16.03,-22.33,-6.299999999999997,0.7178683385579938,22.33,22.33,22.33,10,1,4,5,16.03,-5.5825,-1.2599999999999991,-0.7132240625347811,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,4.0,-0.6299999999999997,0.7178683385579938,-0.9669678019561296,-7.613020577877814,-4.330352897250917,-2.407448489982518,1.0,0.447895623337511,0.1048,-9.226792003398185,-16.634920634920643,1.834096109839817,0.7178683385579938
1,4,0.2,16.03,-22.33,-6.299999999999997,0.7178683385579938,22.33,22.33,22.33,11,1,4,5,16.03,-5.5825,-1.2599999999999991,-0.5218705296817017,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,4.0,-0.5727272727272724,0.7178683385579938,-0.9485870250247338,-7.738217019487612,-4.248038625278701,-2.3331602181802444,1.0,0.4473296781283873,0.1009999999999999,-9.391950742819148,-17.634920634920643,1.834096109839817,0.7178683385579938
1,5,0.1666666666666666,16.03,-29.59,-13.559999999999995,0.5417370733355864,22.33,22.33,22.33,12,1,5,6,16.03,-5.917999999999999,-2.26,-0.5214174794138561,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,2.5,-1.1299999999999997,0.5417370733355864,-0.9986964607775154,-8.072125881136149,-4.47244272627638,-2.33022202520325,1.0,0.3583036504568924,0.1038833333333333,-9.613635110965976,-9.19321533923304,1.834096109839817,0.5417370733355864
1,5,0.1666666666666666,16.03,-29.59,-13.559999999999995,0.5417370733355864,22.33,22.33,22.33,13,1,5,6,16.03,-5.917999999999999,-2.26,-0.5183639251816985,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,2.5,-1.0430769230769228,0.5417370733355864,-0.9973677841847488,-7.999708013114112,-4.46649254001231,-2.218719802309468,1.0,0.3570196995643435,0.1063230769230769,-9.380539136450396,-10.19321533923304,1.834096109839817,0.5417370733355864
1,6,0.1428571428571428,16.03,-36.61,-20.58,0.4378585086042065,22.33,22.33,22.33,14,1,6,7,16.03,-6.101666666666667,-2.94,-0.5982927950367906,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,3.0,-1.47,0.4378585086042065,-0.9999164767033616,-7.5675364597060115,-4.477906299612009,-2.02250919243858,1.0,0.2860269407563566,0.1134285714285714,-8.815384555319309,-7.716229348882411,1.834096109839817,0.4378585086042065
1,6,0.1428571428571428,16.03,-36.61,-20.58,0.4378585086042065,22.33,22.33,22.33,15,1,6,7,16.03,-6.101666666666667,-2.94,-0.6524566761442007,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,3.0,-1.372,0.4378585086042065,-0.9975757938689312,-7.214691796546258,-4.467424065691587,-1.862825411736195,1.0,0.2842876987027213,0.1195866666666666,-8.341864705114265,-8.716229348882411,1.834096109839817,0.4378585086042065
2,6,0.25,34.03,-36.61,-2.5799999999999983,0.9295274515159792,22.33,22.33,22.33,16,2,6,8,17.015,-6.101666666666667,-0.3224999999999998,-0.4265113084092379,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.1612499999999999,0.9295274515159792,-0.4899727948464486,-3.655567229597716,-2.1942355344668547,-0.9138918073994288,0.6278222940591633,0.5332285804591907,0.1137249999999999,-4.308400042615508,-70.52713178294577,2.059496567505721,0.9295274515159792
2,6,0.25,34.03,-36.61,-2.5799999999999983,0.9295274515159792,22.33,22.33,22.33,17,2,6,8,17.015,-6.101666666666667,-0.3224999999999998,-0.2553331062175311,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.1517647058823528,0.9295274515159792,-0.4716435567114698,-3.622921414948132,-2.1121520676733985,-0.878687509831961,0.6266854657581452,0.5333566916169826,0.1085529411764705,-4.344825221683639,-71.52713178294579,2.059496567505721,0.9295274515159792
2,7,0.2222222222222222,34.03,-41.96,-7.929999999999998,0.8110104861773118,22.33,22.33,22.33,18,2,7,9,17.015,-5.994285714285715,-0.8811111111111108,-0.1952863463766619,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.333333333333333,-0.4405555555555554,0.8110104861773118,-0.86679171027925,-6.777709216694976,-3.881736275321317,-1.597521382678527,1.0,0.4747514287308287,0.1069277777777777,-8.106328666818985,-24.271122320302656,2.059496567505721,0.8110104861773118
2,7,0.2222222222222222,34.03,-41.96,-7.929999999999998,0.8110104861773118,22.33,22.33,22.33,19,2,7,9,17.015,-5.994285714285715,-0.8811111111111108,-0.1444665334166824,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.333333333333333,-0.4173684210526314,0.8110104861773118,-0.8310566035548513,-6.606171122171639,-3.7217044494171594,-1.515559596067519,1.0,0.4746717530166752,0.1054736842105263,-7.879279175420247,-25.271122320302656,2.059496567505721,0.8110104861773118
2,8,0.2,34.03,-43.98,-9.949999999999998,0.7737608003638017,22.33,22.33,22.33,20,2,8,10,17.015,-5.4975000000000005,-0.9949999999999998,-0.126362524903591,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.6666666666666665,-0.4974999999999999,0.7737608003638018,-0.8950489432520584,-7.182402158495804,-4.008280086216115,-1.6060339468137834,1.0,0.4524004700068534,0.1051749999999999,-8.510092163081136,-21.140703517587948,2.059496567505721,0.7737608003638018
2,8,0.2,34.03,-43.98,-9.949999999999998,0.7737608003638017,22.33,22.33,22.33,21,2,8,10,17.015,-5.4975000000000005,-0.9949999999999998,-0.1105705246487484,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.6666666666666665,-0.4738095238095237,0.7737608003638018,-0.8206114339293489,-6.642650757145253,-3.6749280516316567,-1.4495452337987549,1.0,0.4522762409032738,0.1049047619047619,-7.822442175449988,-22.140703517587948,2.059496567505721,0.7737608003638018
2,9,0.1818181818181818,34.03,-46.330000000000005,-12.299999999999995,0.7345132743362831,22.33,22.33,22.33,22,2,9,11,17.015,-5.147777777777779,-1.118181818181818,-0.1242471279800281,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.559090909090909,0.7345132743362832,-0.883458672895079,-7.1527936124358495,-3.956375606337121,-1.524980722115158,1.0,0.426718906577952,0.1057272727272727,-8.356014962894125,-18.910569105691064,2.059496567505721,0.7345132743362832
2,9,0.1818181818181818,34.03,-46.330000000000005,-12.299999999999995,0.7345132743362831,22.33,22.33,22.33,23,2,9,11,17.015,-5.147777777777779,-1.118181818181818,-0.1359489073916659,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.5347826086956521,0.7345132743362832,-0.8725486170332928,-7.065733869575131,-3.907517317659171,-1.473307357697686,1.0,0.4265560586099692,0.1064782608695652,-8.194617473158733,-19.910569105691064,2.059496567505721,0.7345132743362832
2,10,0.1666666666666666,34.03,-52.05,-18.02,0.6537944284341979,22.33,22.33,22.33,24,2,10,12,17.015,-5.205,-1.5016666666666665,-0.2050242109940328,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.333333333333333,-0.7508333333333331,0.653794428434198,-0.9557788009991248,-7.563801470334376,-4.2802454142370125,-1.5439545098360314,1.0,0.3687253433247525,0.10955,-8.72458969419557,-14.59045504994451,2.059496567505721,0.653794428434198
2,10,0.1666666666666666,34.03,-52.05,-18.02,0.6537944284341979,22.33,22.33,22.33,25,2,10,12,17.015,-5.205,-1.5016666666666665,-0.2625198903664211,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.333333333333333,-0.7207999999999999,0.653794428434198,-0.9514771411386612,-7.378763760500172,-4.260981375453029,-1.4757527521000346,1.0,0.368457003020076,0.112376,-8.466907000949146,-15.59045504994451,2.059496567505721,0.653794428434198
2,11,0.1538461538461538,34.03,-55.91,-21.879999999999995,0.6086567698086209,22.33,22.33,22.33,26,2,11,13,17.015,-5.082727272727273,-1.6830769230769227,-0.3395063545926164,1,1,18.0,-8.74,1.0,5.0,18.0,-22.33,1.0,3.6666666666666665,-0.8415384615384615,0.608656769808621,-0.9757116363812448,-7.307243809595119,-4.369510239056179,-1.4330684144502153,1.0,0.3310585785183461,0.1164692307692307,-8.377419769471093,-13.8400365630713,2.059496567505721,0.608656769808621
2,11,0.1538461538461538,34.03,-55.91,-21.879999999999995,0.6086567698086209,22.33,22.33,22.33,27,2,11,13,17.015,-5.082727272727273,-1.6830769230769227,-0.4016506975890037,1,1,18.0,-8.74,1.0,5.0,18.0,-22.33,1.0,3.6666666666666665,-0.8103703703703703,0.608656769808621,-0.9601628291534684,-6.976390397193337,-4.299878321332147,-1.3426069579304978,1.0,0.3307410699349374,0.1202592592592592,-7.984107295085816,-14.8400365630713,2.059496567505721,0.608656769808621
2,12,0.1428571428571428,34.03,-60.53,-26.5,0.5622005617049397,26.5,26.5,26.5,28,2,12,14,17.015,-5.0441666666666665,-1.8928571428571423,-0.4737202765485414,1,1,18.0,-8.74,1.0,6.0,18.0,-23.92,1.0,4.0,-0.9464285714285714,0.5622005617049397,-0.9819778554907872,-6.813110471719972,-3.705576813172781,-1.287556854498643,1.0,0.2892416813306492,0.1254285714285714,-7.828980624641812,-13.252830188679246,2.059496567505721,0.5622005617049397
2,12,0.1428571428571428,34.03,-60.53,-26.5,0.5622005617049397,26.5,26.5,26.5,29,2,12,14,17.015,-5.0441666666666665,-1.8928571428571423,-0.5305976819217579,1,1,18.0,-8.74,1.0,6.0,18.0,-23.92,1.0,4.0,-0.913793103448276,0.5622005617049397,-0.9794179990709356,-6.532523483653162,-3.695916977626173,-1.2130591574465068,1.0,0.2888646544759641,0.1302413793103448,-7.520021703218728,-14.252830188679246,2.059496567505721,0.5622005617049397
2,13,0.1333333333333333,34.03,-64.48,-30.45,0.5277605459057072,30.450000000000003,30.450000000000003,30.450000000000006,30,2,13,15,17.015,-4.96,-2.03,-0.5860254645221873,1,1,18.0,-8.74,1.0,7.0,18.0,-27.87,1.0,4.333333333333333,-1.015,0.5277605459057072,-0.9897019002877192,-6.282050940797067,-3.250252546100884,-1.1469403358903685,1.0,0.2556613757285662,0.13605,-7.274545389839907,-13.403940886699507,2.059496567505721,0.5277605459057072
2,13,0.1333333333333333,34.03,-64.48,-30.45,0.5277605459057072,30.450000000000003,30.450000000000003,30.450000000000006,31,2,13,15,17.015,-4.96,-2.03,-0.6303246813806201,1,1,18.0,-8.74,1.0,7.0,18.0,-27.87,1.0,4.333333333333333,-0.982258064516129,0.5277605459057072,-0.9880151504583884,-6.011693361433755,-3.244713137794379,-1.0797320018726675,1.0,0.2552446976902649,0.1414838709677419,-6.98323521755815,-14.40394088669951,2.059496567505721,0.5277605459057072
2,14,0.125,34.03,-66.67,-32.63999999999999,0.5104244787760612,32.64,32.64,32.64,32,2,14,16,17.015,-4.762142857142857,-2.04,-0.6695176677993445,1,1,18.0,-8.74,1.0,8.0,18.0,-30.06,1.0,4.666666666666667,-1.02,0.5104244787760612,-0.991868639897455,-5.77529766415254,-3.038813234979948,-1.0209380354232724,1.0,0.2373317774024759,0.1472625,-6.7353782524230885,-14.437500000000004,2.059496567505721,0.5104244787760612
2,14,0.125,34.03,-66.67,-32.63999999999999,0.5104244787760612,32.64,32.64,32.64,33,2,14,16,17.015,-4.762142857142857,-2.04,-0.7017101298865259,1,1,18.0,-8.74,1.0,8.0,18.0,-30.06,1.0,4.666666666666667,-0.9890909090909092,0.5104244787760612,-0.9905224781717444,-5.551926302885719,-3.0346889649869624,-0.9664663168451296,1.0,0.2369167784837731,0.1526909090909091,-6.487108394789944,-15.437500000000004,2.059496567505721,0.5104244787760612
2,15,0.1176470588235294,34.03,-69.41,-35.379999999999995,0.4902751764875379,35.379999999999995,35.379999999999995,35.379999999999995,34,2,15,17,17.015,-4.6273333333333335,-2.081176470588235,-0.7309980952139116,1,1,18.0,-8.74,1.0,9.0,18.0,-32.8,1.0,5.0,-1.0405882352941176,0.4902751764875379,-0.9941764133226126,-5.346599056551248,-2.8099955153267744,-0.9169341735228116,1.0,0.2158903956786175,0.1586058823529411,-6.268219050730414,-15.24194460146976,2.059496567505721,0.4902751764875379
