Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal
2024.01.02 01:03:34,2.0,XAUUSDc,buy,2.03 / 2.03,0.0,2065.053,2078.319,2024.01.02 01:03:34,filled,Range Breakout Buy,2024.01.02 01:03:34,2.0,XAUUSDc,buy,in,2.03,2066.368,0,0.0,0.0,100.0,Range Breakout Buy
2024.01.02 02:07:30,3.0,XAUUSDc,sell,2.03 / 2.03,0.0,,,2024.01.02 02:07:30,filled,sl 2065.053,2024.01.02 02:07:30,3.0,XAUUSDc,sell,out,2.03,2064.418,0,0.0,-3.96,96.04,sl 2065.053
2024.01.03 00:12:34,4.0,XAUUSDc,buy,7.42 / 7.42,0.0,2059.922,2063.414,2024.01.03 00:12:34,filled,Range Breakout Buy,2024.01.03 00:12:34,4.0,XAUUSDc,buy,in,7.42,2060.626,0,0.0,0.0,96.04,Range Breakout Buy
2024.01.03 01:16:30,5.0,XAUUSDc,sell,7.42 / 7.42,0.0,,,2024.01.03 01:16:30,filled,sl 2059.922,2024.01.03 01:16:30,5.0,XAUUSDc,sell,out,7.42,2059.897,0,0.0,-5.41,90.63,sl 2059.922
2024.01.04 00:54:34,6.0,XAUUSDc,sell,7.95 / 7.95,0.0,2042.059,2038.981,2024.01.04 00:54:34,filled,Range Breakout Sell,2024.01.04 00:54:34,6.0,XAUUSDc,sell,in,7.95,2041.821,0,0.0,0.0,90.63,Range Breakout Sell
2024.01.04 00:55:30,7.0,XAUUSDc,buy,7.95 / 7.95,0.0,,,2024.01.04 00:55:30,filled,sl 2042.059,2024.01.04 00:55:30,7.0,XAUUSDc,buy,out,7.95,2042.352,0,0.0,-4.22,86.41,sl 2042.059
2024.01.05 00:48:32,8.0,XAUUSDc,buy,17.51 / 17.51,0.0,2044.323,2045.655,2024.01.05 00:48:32,filled,Range Breakout Buy,2024.01.05 00:48:32,8.0,XAUUSDc,buy,in,17.51,2044.807,0,0.0,0.0,86.41,Range Breakout Buy
2024.01.05 00:51:30,9.0,XAUUSDc,sell,17.51 / 17.51,0.0,,,2024.01.05 00:51:30,filled,sl 2044.323,2024.01.05 00:51:30,9.0,XAUUSDc,sell,out,17.51,2044.308,0,0.0,-8.74,77.67,sl 2044.323
2024.01.09 00:03:31,10.0,XAUUSDc,buy,7.37 / 7.37,0.0,2031.095,2033.939,2024.01.09 00:03:31,filled,Range Breakout Buy,2024.01.09 00:03:31,10.0,XAUUSDc,buy,in,7.37,2031.796,0,0.0,0.0,77.67,Range Breakout Buy
2024.01.09 00:19:30,11.0,XAUUSDc,sell,7.37 / 7.37,0.0,,,2024.01.09 00:19:30,filled,tp 2033.939,2024.01.09 00:19:30,11.0,XAUUSDc,sell,out,7.37,2033.971,0,0.0,16.03,93.7,tp 2033.939
2024.01.10 01:15:31,12.0,XAUUSDc,sell,4.1 / 4.1,0.0,2028.842,2022.686,2024.01.10 01:15:31,filled,Range Breakout Sell,2024.01.10 01:15:31,12.0,XAUUSDc,sell,in,4.1,2027.327,0,0.0,0.0,93.7,Range Breakout Sell
2024.01.10 01:21:30,13.0,XAUUSDc,buy,4.1 / 4.1,0.0,,,2024.01.10 01:21:30,filled,sl 2028.842,2024.01.10 01:21:30,13.0,XAUUSDc,buy,out,4.1,2029.097,0,0.0,-7.26,86.44,sl 2028.842
2024.01.11 00:06:32,14.0,XAUUSDc,buy,10.45 / 10.45,0.0,2027.239,2029.471,2024.01.11 00:06:32,filled,Range Breakout Buy,2024.01.11 00:06:32,14.0,XAUUSDc,buy,in,10.45,2027.719,0,0.0,0.0,86.44,Range Breakout Buy
2024.01.11 00:09:30,15.0,XAUUSDc,sell,10.45 / 10.45,0.0,,,2024.01.11 00:09:30,filled,sl 2027.239,2024.01.11 00:09:30,15.0,XAUUSDc,sell,out,10.45,2027.047,0,0.0,-7.02,79.42,sl 2027.239
2024.01.16 00:27:33,17.0,XAUUSDc,sell,4.23 / 4.23,0.0,2053.648,2048.581,2024.01.16 00:27:33,filled,Range Breakout Sell,2024.01.16 00:27:33,16.0,XAUUSDc,sell,in,4.23,2052.819,0,0.0,0.0,79.42,Range Breakout Sell
2024.01.16 05:22:30,18.0,XAUUSDc,buy,4.23 / 4.23,0.0,,,2024.01.16 05:22:30,filled,tp 2048.581,2024.01.16 05:22:30,17.0,XAUUSDc,buy,out,4.23,2048.564,0,0.0,18.0,97.42,tp 2048.581
2024.01.17 00:12:31,19.0,XAUUSDc,sell,6.58 / 6.58,0.0,2026.439,2022.443,2024.01.17 00:12:31,filled,Range Breakout Sell,2024.01.17 00:12:31,18.0,XAUUSDc,sell,in,6.58,2025.938,0,0.0,0.0,97.42,Range Breakout Sell
2024.01.17 00:20:30,20.0,XAUUSDc,buy,6.58 / 6.58,0.0,,,2024.01.17 00:20:30,filled,sl 2026.439,2024.01.17 00:20:30,19.0,XAUUSDc,buy,out,6.58,2026.751,0,0.0,-5.35,92.07,sl 2026.439
2024.01.19 00:21:31,22.0,XAUUSDc,buy,3.5 / 3.5,0.0,2023.458,2030.559,2024.01.19 00:21:31,filled,Range Breakout Buy,2024.01.19 00:21:31,20.0,XAUUSDc,buy,in,3.5,2024.023,0,0.0,0.0,92.07,Range Breakout Buy
2024.01.19 00:36:30,23.0,XAUUSDc,sell,3.5 / 3.5,0.0,,,2024.01.19 00:36:30,filled,sl 2023.458,2024.01.19 00:36:30,21.0,XAUUSDc,sell,out,3.5,2023.446,0,0.0,-2.02,90.05,sl 2023.458
2024.01.24 07:45:33,25.0,XAUUSDc,buy,1.15 / 1.15,0.0,2028.856,2049.871,2024.01.24 07:45:33,filled,Range Breakout Buy,2024.01.24 07:45:33,22.0,XAUUSDc,buy,in,1.15,2030.615,0,0.0,0.0,90.05,Range Breakout Buy
2024.01.24 08:18:30,26.0,XAUUSDc,sell,1.15 / 1.15,0.0,,,2024.01.24 08:18:30,filled,sl 2028.856,2024.01.24 08:18:30,23.0,XAUUSDc,sell,out,1.15,2028.57,0,0.0,-2.35,87.7,sl 2028.856
2024.01.25 07:33:36,27.0,XAUUSDc,buy,13.28 / 13.28,0.0,2017.272,2019.054,2024.01.25 07:33:36,filled,Range Breakout Buy,2024.01.25 07:33:36,24.0,XAUUSDc,buy,in,13.28,2017.565,0,0.0,0.0,87.7,Range Breakout Buy
2024.01.25 07:34:30,28.0,XAUUSDc,sell,13.28 / 13.28,0.0,,,2024.01.25 07:34:30,filled,sl 2017.272,2024.01.25 07:34:30,25.0,XAUUSDc,sell,out,13.28,2017.134,0,0.0,-5.72,81.98,sl 2017.272
2024.01.26 00:42:38,29.0,XAUUSDc,buy,2.95 / 2.95,0.0,2020.32,2027.808,2024.01.26 00:42:38,filled,Range Breakout Buy,2024.01.26 00:42:38,26.0,XAUUSDc,buy,in,2.95,2021.31,0,0.0,0.0,81.98,Range Breakout Buy
2024.01.26 07:16:30,30.0,XAUUSDc,sell,2.95 / 2.95,0.0,,,2024.01.26 07:16:30,filled,sl 2020.320,2024.01.26 07:16:30,27.0,XAUUSDc,sell,out,2.95,2020.001,0,0.0,-3.86,78.12,sl 2020.320
